wavelength,species,ep,gf,Sun,0727-1079644,0733-0837663
6219.28,26,2.2,-2.43,,,82.3
6229.23,26,2.85,-2.83,40.3,38.1,
6232.64,26,3.65,-1.22,87.2,85,71.3
6240.646,26,2.223,-3.287,49.7,46.2,41.1
6265.134,26,2.176,-2.547,87.1,85,77
6270.225,26,2.858,-2.54,53.2,,52.8
6297.793,26,2.223,-2.715,75.4,,79.5
6311.5,26,2.831,-3.141,30,25.8,29.6
6322.69,26,2.59,-2.43,77.1,77.8,65.2
6335.33,26,2.2,-2.26,,,88.7
6344.15,26,2.43,-2.92,70,71.1,
6355.03,26,2.84,-2.31,82.1,76.7,66.2
6358.68,26,0.86,-4.24,87.8,78.1,67.8
6380.74,26,4.19,-1.32,54.1,56.1,46.4
6419.95,26,4.73,-0.24,87.9,,78.7
6481.87,26,2.28,-2.98,64.6,65.6,56.8
6498.939,26,0.958,-4.695,47.3,,
6518.367,26,2.831,-2.448,59.9,61.1,52.8
6574.229,26,0.99,-5.01,,28.4,25.2
6593.871,26,2.433,-2.394,88.5,,
6597.56,26,4.8,-0.97,46,50.1,40.9
6609.11,26,2.559,-2.682,68.2,66.5,52.3
6699.142,26,4.593,-2.101,10.4,9.4,12.9
6703.567,26,2.759,-3.023,40.2,37.8,30.3
6705.102,26,4.607,-0.98,48.8,47.3,41.4
6713.745,26,4.795,-1.4,22,,20.8
6726.667,26,4.607,-1.03,50.7,51.6,43.7
6739.522,26,1.557,-4.794,,11,
6750.152,26,2.424,-2.621,74.9,75.4,63.4
6752.71,26,4.64,-1.22,37.4,37.3,
6793.259,26,4.076,-2.326,13.1,12.4,
6810.263,26,4.607,-0.986,52.4,51.9,43.6
6828.59,26,4.64,-0.82,57.6,57.1,53.8
6837.006,26,4.593,-1.687,18.3,19.8,23
6841.34,26,4.61,-0.71,74.5,,69.2
6842.69,26,4.64,-1.22,42.5,47.4,45.8
6843.66,26,4.55,-0.83,63.2,65.1,54.9
6854.823,26,4.593,-1.926,14.4,14.7,
6855.16,26,4.56,-0.74,,,69.6
6858.15,26,4.61,-0.94,52.9,51.5,42.6
6945.205,26,2.424,-2.454,81.9,,68.9
6978.852,26,2.484,-2.479,81.7,81.1,78.6
6999.88,26,4.1,-1.46,57.1,55,47.8
7022.95,26,4.19,-1.15,,,69.5
7038.22,26,4.22,-1.2,66.2,,55.7
7090.38,26,4.23,-1.11,70.1,,53.7
7132.99,26,4.08,-1.65,43.3,43.8,34.6
7401.685,26,4.186,-1.5,42.7,42.9,36.2
7418.67,26,4.14,-1.38,50.8,49.7,45.6
7583.79,26,3.02,-1.88,84.8,82.8,
7710.36,26,4.22,-1.11,73.9,68.7,63
7723.21,26,2.28,-3.62,45.9,43.2,
4491.4,26.1,2.856,-2.66,81.9,,
4576.333,26.1,2.844,-2.95,65.6,70.3,83.4
4620.513,26.1,2.828,-3.21,,61.9,71.6
4993.34,26.1,2.81,-3.73,38.4,45,57.4
5132.66,26.1,2.81,-4.17,24.8,24.4,33.9
5197.577,26.1,3.231,-2.22,82.3,,
5234.624,26.1,3.221,-2.18,86.5,,
5264.804,26.1,3.23,-3.13,45.6,,
5284.1,26.1,2.89,-3.2,69.3,84.7,
5325.55,26.1,3.22,-3.25,44.8,51.2,
5414.072,26.1,3.221,-3.58,29.8,,49.9
5425.257,26.1,3.2,-3.22,42,46.1,60.4
5525.12,26.1,3.27,-3.94,17.4,,
5534.84,26.1,3.24,-2.88,64.3,72.4,86
6084.09,26.1,3.2,-3.83,20.9,26.7,36
6149.24,26.1,3.89,-2.75,37.1,43.1,57.7
6238.38,26.1,3.89,-2.63,46.9,,
6247.55,26.1,3.89,-2.38,56.4,,82.8
6369.462,26.1,2.891,-4.11,20.2,22.8,37.7
6416.92,26.1,3.89,-2.75,,47.1,51.7
6432.676,26.1,2.891,-3.57,43.4,48.3,
6516.077,26.1,2.891,-3.31,86.9,67.8,87.9
7222.392,26.1,3.889,-3.26,31,,49.9
7224.479,26.1,3.889,-3.2,22.1,21.4,
7449.33,26.1,3.89,-3.27,20.9,25,
7515.831,26.1,3.903,-3.39,13.6,16,24.7
7711.721,26.1,3.903,-2.5,47.5,53.2,68.2
